student_id,school_year,season,assessment,subject,value_type,value,school,grade_num,source_file,year_confidence
2011876,2022-23,Fall,STAR,Reading,score,1015.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2013739,2022-23,Fall,STAR,Reading,score,1058.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2016201,2022-23,Fall,STAR,Reading,score,995.0,Washington Elementary School,5.0,base_data.xlsx,High
2014788,2022-23,Fall,STAR,Reading,score,1081.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2011411,2022-23,Fall,STAR,Reading,score,1067.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2010731,2022-23,Fall,STAR,Reading,score,932.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2009826,2022-23,Fall,STAR,Reading,score,1037.0,Willard Middle School,8.0,base_data.xlsx,High
2010081,2022-23,Fall,STAR,Reading,score,949.0,Willard Middle School,8.0,base_data.xlsx,High
2010721,2022-23,Fall,STAR,Reading,score,949.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2016002,2022-23,Fall,STAR,Reading,score,1030.0,Berkeley Arts Magnet Elementary School,5.0,base_data.xlsx,High
2009827,2022-23,Fall,STAR,Reading,score,1129.0,Willard Middle School,8.0,base_data.xlsx,High
2010013,2022-23,Fall,STAR,Reading,score,1084.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2010963,2022-23,Fall,STAR,Reading,score,1104.0,Willard Middle School,8.0,base_data.xlsx,High
2018559,2022-23,Fall,STAR,Reading,score,1049.0,Rosa Parks Elementary School,5.0,base_data.xlsx,High
2016513,2022-23,Fall,STAR,Reading,score,1057.0,Willard Middle School,6.0,base_data.xlsx,High
2011750,2022-23,Fall,STAR,Reading,score,1101.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2013212,2022-23,Fall,STAR,Reading,score,1029.0,Willard Middle School,7.0,base_data.xlsx,High
2017734,2022-23,Fall,STAR,Reading,score,884.0,Oxford Elementary School,4.0,base_data.xlsx,High
2015450,2022-23,Fall,STAR,Reading,score,1097.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2015452,2022-23,Fall,STAR,Reading,score,1051.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2011187,2022-23,Fall,STAR,Reading,score,1147.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2017496,2022-23,Fall,STAR,Reading,score,1119.0,Berkeley High School,9.0,base_data.xlsx,High
2017497,2022-23,Fall,STAR,Reading,score,1052.0,Willard Middle School,6.0,base_data.xlsx,High
2011846,2022-23,Fall,STAR,Reading,score,1128.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2014352,2022-23,Fall,STAR,Reading,score,1069.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2015382,2022-23,Fall,STAR,Reading,score,998.0,Oxford Elementary School,5.0,base_data.xlsx,High
2015820,2022-23,Fall,STAR,Reading,score,985.0,Berkeley Arts Magnet Elementary School,5.0,base_data.xlsx,High
2011154,2022-23,Fall,STAR,Reading,score,1124.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2011124,2022-23,Fall,STAR,Reading,score,1069.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2011162,2022-23,Fall,STAR,Reading,score,1084.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2017850,2022-23,Fall,STAR,Reading,score,906.0,Cragmont Elementary School,4.0,base_data.xlsx,High
